Carga superior a la contratada	Aumento no autorizado de carga	Fraude- Tipo 1	No debe ser enviada este tipo de  irregularidad al contratista a cargo del proceso	Ninguno	Ninguno
Servicio directo sin facturación (usuario no cliente)	Servicio Directo sin medidor	Anomalia- Tipo 1	Se procesa el acta	Censo de Carga	Carga Encontrada Medida/Capacidad del Transformador/Carga Contratada
Servicio directo con facturacion estimada	Servicio Directo sin medidor	Anomalia- Tipo 1	se procesa el acta	Censo de Carga	Carga Encontrada Medida/Capacidad del Transformador/Carga Contratada
Equipo no adecuado / no cumple norma	Medidor inapropiado para el sistema o la carga	Anomalia- Tipo 2	Se procesa el acta	Porcentaje de Error(30%)	Censo de Carga/Carga encontrada Medida/Carga Contratada
	Medidor de 3 elementos conectado en 2 o 2 1/2 elementos	Anomalia- Tipo 2	Se espera consumo posterior, si aumenta se inicia proceso normal, se entiende desviación  con una diferencia del 20%    	Porcentaje de Error	Censo de Carga/Carga encontrada Medida/Carga Contratada
Equipo de medida en mal estado	Medidor quemado	Anomalia- Tipo 2	Se hace análisis de los consumos antes y despues y si hay afloramiento se procesa el acta, si no se cierra improcedente	Censo de Carga	Carga Contratada
	Medidor registra sin carga	Anomalia- Tipo 2	Se hace análisis de los consumos antes y despues y si hay afloramiento se procesa el acta, si no se cierra improcedente	Censo de Carga	Carga Contratada
	Bornera del Medidor quemada	Anomalia- Tipo 2	Se hace análisis de los consumos antes y despues y si hay afloramiento se procesa el acta, si no se cierra improcedente	Censo de Carga	Carga Contratada
	TC quemado	Anomalia- Tipo 2	Se hace análisis de los consumos antes y despues y si hay afloramiento se procesa el acta, si no se cierra improcedente	Censo de Carga	Carga Contratada
	Medidor con error alto, según laboratorio	Anomalia- Tipo 2	se  procesa el acta	Porcentaje de Error	Censo de Carga/Carga Contratada
Cambio de uso (tarifa inadecuada al tipo de cliente)	Predio de uso comercial, con tarifa residencial	Fraude - Tipo 1	Esta acta no debe ser enviadas a Irregularidades	Ninguno	Ninguno
Reconexión no autorizada	Reconexión no autorizada	Fraude - Tipo 1	Esta acta no debe ser enviadas a Irregularidades	Ninguno	Ninguno
Conexiones eléctricas - intervenidas (invertidas)	Señal de tensión desconectada	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	Cable de señal en mal estado (abierto o aislamiento en mal estado)	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	TC con señal de corriente aislada (cortada)	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	Puentes abiertos en Transformador de potencial	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada/Capacidad de Corriente del Transformador
	Puentes aislados en transformador de potencial	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada/Capacidad de Corriente del Transformador
	Fase Invertida en medidor 	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	Fase Invertida en transformador	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada/Capacidad de Corriente del Transformador
	Invertido neutro y fase	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
	Linea Amiga	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Capacidad de Corriente del conductor
	Neutro manipulado	Fraude - Tipo 1	Se procesa el acta	Carga Encontrada	Censo de Carga/Carga Contratada
